,Alcaldia,Colonia,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,Cocina_equip,Gimnasio,Amueblado,Alberca,Terraza,Elevador,m2_construido,Baños,Recamaras,Lugares_estac,Precio_m2,Cluster Labels
646,Venustiano Carranza,Lorenzo Boturini,1.0243727415289656,6.374009689507589,43.62497336852347,16.351225040853794,28.24529055291861,2.2800922644951735,0.055234173223448285,0.0358046200475862,8.154876924755861,39.083659426476544,1,0,0,0,1,1,56.0,1.0,2,1,913.575,2
647,Cuahtemoc,Santa Maria La Ribera,0.9031029391228756,6.775808668997386,42.08900539295555,12.233556742089542,26.82689384128955,1.703202068856863,0.10980281996993461,0.04752246796732026,6.214708063603269,30.680722386049663,1,0,0,0,1,0,64.0,2.0,2,1,3295.0,1
648,Cuahtemoc,Juárez,0.9031029391228756,6.775808668997386,42.08900539295555,12.233556742089542,26.82689384128955,1.703202068856863,0.10980281996993461,0.04752246796732026,6.214708063603269,30.680722386049663,1,0,0,0,1,1,118.0,2.0,2,2,7517.0,1
649,Alvaro Obregon,San Angel,1.339167465965152,5.683629830902019,42.85247393318536,17.831208043731817,23.737688165876765,3.189615113417172,0.28293665641111115,0.02617413299141413,6.976225541477781,36.60403865686565,1,1,0,1,1,1,150.0,2.0,2,2,9646.867,3
650,Iztapalapa,San Juan Xalpa,1.8576851178949343,5.622804972670488,47.82131159000157,21.69379967117909,32.20292505372248,4.541025503087884,0.7051623132865643,0.1674379848229075,9.555907491718278,50.081349278744696,1,0,0,0,0,0,60.0,1.0,2,1,900.0,2
651,Iztapalapa,Tepalcates,1.8576851178949343,5.622804972670488,47.82131159000157,21.69379967117909,32.20292505372248,4.541025503087884,0.7051623132865643,0.1674379848229075,9.555907491718278,50.081349278744696,1,0,0,0,0,0,66.0,1.0,2,1,1050.0,2
652,Alvaro Obregon,San Angel,1.339167465965152,5.683629830902019,42.85247393318536,17.831208043731817,23.737688165876765,3.189615113417172,0.28293665641111115,0.02617413299141413,6.976225541477781,36.60403865686565,1,1,1,1,1,1,146.0,3.0,3,2,8500.0,1
653,Benito Juárez,Narvarte,0.35153771919019605,6.230001723306864,31.695906807823537,6.0718089010264675,20.07138209353137,0.47685406497156857,0.025016822565686277,0.019991669161764702,3.1690900893558824,15.149626544900984,1,1,0,0,1,1,99.0,2.0,2,1,5791.8,1
654,Coyoacan,Villa Panamericana,0.7718337419282053,4.983508536587821,32.9147709875859,10.974064850642304,24.551108799625005,1.6953430394935889,0.04838447104679487,0.030823144032692314,5.46980658328782,25.714023047063467,1,0,0,0,0,1,64.0,1.0,2,1,2200.0,2
655,La Magdalena Contreras,San Jerónimo Líndice,1.8576851178949343,5.622804972670488,47.82131159000157,21.69379967117909,32.20292505372248,4.541025503087884,0.7051623132865643,0.1674379848229075,9.555907491718278,50.081349278744696,1,1,0,0,1,1,90.0,1.0,3,1,1094.44,2
656,Iztapalapa,Totli,1.8576851178949343,5.622804972670488,47.82131159000157,21.69379967117909,32.20292505372248,4.541025503087884,0.7051623132865643,0.1674379848229075,9.555907491718278,50.081349278744696,1,0,0,0,0,0,50.0,1.0,2,1,650.0,2
657,Azcapotzalco,Claveria,0.9620855552931371,5.968981132699999,38.99289950275197,15.501420668195095,20.608398232794126,1.8317819900647065,0.4580969769284314,0.03128954983333333,7.574512784323526,35.21970538103727,1,1,0,0,1,1,56.0,2.0,2,1,3090.0,1
