,Alcaldia,Colonia,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,Cocina_equip,Gimnasio,Amueblado,Alberca,Terraza,Elevador,m2_construido,Baños,Recamaras,Lugares_estac,Precio_m2,Cluster Labels
570,Xochimilco,Santa María Nativitas,2.300547233570248,4.569400517145453,46.68436209892728,21.30116500446859,32.138410534628115,6.805506663228928,10.209770899563635,0.17242271640826443,8.252036122542153,50.0551627865661,1,0,0,0,1,1,70.0,2.0,2,1,2550.0,1
571,Cuajimalpa,Bosques de las Lomas,1.5509086489586208,5.75837650877931,44.360118918031034,18.897734095034483,24.415937583965526,4.172703474348276,0.42864960056551726,0.0611512952,6.675828043813794,39.64775501000345,1,1,0,1,1,1,257.0,3.0,3,2,11700.0,3
572,Iztapalapa,Calzada Ermita,1.8576851178949343,5.622804972670488,47.82131159000157,21.69379967117909,32.20292505372248,4.541025503087884,0.7051623132865643,0.1674379848229075,9.555907491718278,50.081349278744696,1,0,0,0,0,0,49.0,1.0,2,1,1280.0,2
573,Milpa alta,San Pablo Ozotorepec,2.7994205439952373,3.8138994979976197,51.22951436664049,23.456157173235717,30.323110292202387,8.532997867309527,6.465903091366667,0.22702943210476184,13.059364018926193,63.969239382804766,0,0,0,0,0,0,53.0,1.0,3,0,245.0,2
574,Alvaro Obregon,Canoa Progreso Tizapan,1.339167465965152,5.683629830902019,42.85247393318536,17.831208043731817,23.737688165876765,3.189615113417172,0.28293665641111115,0.02617413299141413,6.976225541477781,36.60403865686565,1,1,0,1,0,1,192.0,4.0,3,2,12300.0,3
575,Gustavo A. Madero,El Coyol,1.3998376783657802,4.9853922078770765,40.21470854549038,18.205064767591015,25.421478191519945,2.9238671388777426,0.295210496049834,0.04885657138936877,9.532578887003654,43.859107736134256,1,0,0,0,0,1,80.0,2.0,3,1,906.68,2
576,Gustavo A. Madero,Lindavista Norte,1.3998376783657802,4.9853922078770765,40.21470854549038,18.205064767591015,25.421478191519945,2.9238671388777426,0.295210496049834,0.04885657138936877,9.532578887003654,43.859107736134256,1,0,0,0,0,0,115.0,1.0,2,1,847.347,2
577,Tlalpan,Fuentes del pedregal,1.3941458683697558,4.602689024080001,40.26138523512779,16.530820592212198,27.882697736545353,3.7141190714112198,3.909596218551706,0.07706095023365855,6.2242938469975595,36.76328842288293,1,1,0,0,1,1,193.0,3.0,3,2,7099.99,1
578,Iztapalapa,Juan Escutia,1.8576851178949343,5.622804972670488,47.82131159000157,21.69379967117909,32.20292505372248,4.541025503087884,0.7051623132865643,0.1674379848229075,9.555907491718278,50.081349278744696,1,0,0,0,0,0,81.0,1.0,2,1,1705.409,2
579,La Magdalena Contreras,San Jerónimo Líndice,1.8576851178949343,5.622804972670488,47.82131159000157,21.69379967117909,32.20292505372248,4.541025503087884,0.7051623132865643,0.1674379848229075,9.555907491718278,50.081349278744696,1,1,0,0,1,1,150.0,2.0,3,2,3900.0,1
580,Iztapalapa,Lomas Estrella,1.8576851178949343,5.622804972670488,47.82131159000157,21.69379967117909,32.20292505372248,4.541025503087884,0.7051623132865643,0.1674379848229075,9.555907491718278,50.081349278744696,1,0,0,0,0,0,81.0,1.0,3,1,2001.0,2
581,Alvaro Obregon,Rincon de la bolsa,1.339167465965152,5.683629830902019,42.85247393318536,17.831208043731817,23.737688165876765,3.189615113417172,0.28293665641111115,0.02617413299141413,6.976225541477781,36.60403865686565,1,1,0,1,1,1,197.0,3.5,3,2,11312.978,3
582,Benito Juárez,Portales,0.35153771919019605,6.230001723306864,31.695906807823537,6.0718089010264675,20.07138209353137,0.47685406497156857,0.025016822565686277,0.019991669161764702,3.1690900893558824,15.149626544900984,1,0,0,0,1,0,93.0,2.0,2,1,3200.0,1
583,Iztapalapa,Santa Martha Acatitla,1.8576851178949343,5.622804972670488,47.82131159000157,21.69379967117909,32.20292505372248,4.541025503087884,0.7051623132865643,0.1674379848229075,9.555907491718278,50.081349278744696,1,0,0,0,0,0,42.0,1.0,2,1,431.2,2
584,Miguel Hidalgo,Polanco,0.611027408779167,5.569241583823338,35.542918195636666,10.499484300919168,18.45722733647667,1.0584627289141664,0.06849059075083332,0.026193903617499997,4.497140149960834,20.12386775763833,1,0,0,0,1,1,204.0,2.0,2,2,22500.0,0
